,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1598594000000.0,1016381000000.0,-4191790000000.0,-528630000000.0
Issuance Of Capital Stock,,0.0,6950000000000.0,658492000000.0
Capital Expenditure,-651482000000.0,-488348000000.0,-405252000000.0,-201448000000.0
End Cash Position,2954422000000.0,1460371000000.0,1418471000000.0,447506000000.0
Beginning Cash Position,1460371000000.0,1418471000000.0,447506000000.0,303494000000.0
Changes In Cash,1494051000000.0,41900000000.0,970965000000.0,144012000000.0
Financing Cash Flow,-11561000000.0,-10624000000.0,6922891000000.0,736147000000.0
Net Other Financing Charges,,,,100000000000.0
Net Common Stock Issuance,,0.0,6950000000000.0,658492000000.0
Common Stock Issuance,,0.0,6950000000000.0,658492000000.0
Investing Cash Flow,-744464000000.0,-1452205000000.0,-2165388000000.0,-264953000000.0
Net Investment Purchase And Sale,-95256000000.0,-963889000000.0,-1761524000000.0,-116026000000.0
Sale Of Investment,1031120000000.0,60000000000.0,0.0,19448000000.0
Purchase Of Investment,-1126376000000.0,-1023889000000.0,-1761524000000.0,-135474000000.0
Net Intangibles Purchase And Sale,-642538000000.0,-464141000000.0,-374531000000.0,-150259000000.0
Purchase Of Intangibles,-642538000000.0,-464141000000.0,-374531000000.0,-150259000000.0
Net PPE Purchase And Sale,-6670000000.0,-24175000000.0,-29333000000.0,1332000000.0
Sale Of PPE,2274000000.0,32000000.0,1388000000.0,52521000000.0
Purchase Of PPE,-8944000000.0,-24207000000.0,-30721000000.0,-51189000000.0
Operating Cash Flow,2250076000000.0,1504729000000.0,-3786538000000.0,-327182000000.0
Cash Flowsfromusedin Operating Activities Direct,2250076000000.0,1504729000000.0,-3786538000000.0,-327182000000.0
Classesof Cash Payments,-5659602000000.0,-5385852000000.0,-7517730000000.0,-1063743000000.0
Other Cash Paymentsfrom Operating Activities,-534521000000.0,-616165000000.0,-380244000000.0,-153230000000.0
Paymentson Behalfof Employees,-437486000000.0,-318479000000.0,-177440000000.0,-165015000000.0
Classesof Cash Receiptsfrom Operating Activities,7909678000000.0,6890581000000.0,3731192000000.0,736561000000.0
Other Cash Receiptsfrom Operating Activities,324244000000.0,50783000000.0,238401000000.0,61609000000.0
