,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,406943000000.0,-1387754000000.0,878850000000.0,-4948000000.0
Repurchase Of Capital Stock,0.0,-5031000000.0,-4612000000.0,0.0
Issuance Of Capital Stock,164905000000.0,2372445000000.0,522994000000.0,0.0
Capital Expenditure,-35673000000.0,-53219000000.0,-19320000000.0,-12717000000.0
End Cash Position,2191111000000.0,1819974000000.0,1158523000000.0,55483000000.0
Beginning Cash Position,1819974000000.0,1158523000000.0,55483000000.0,121547000000.0
Effect Of Exchange Rate Changes,-16000000.0,125000000.0,38000000.0,214000000.0
Changes In Cash,371153000000.0,661326000000.0,1103002000000.0,-66278000000.0
Financing Cash Flow,152529000000.0,2355076000000.0,509689000000.0,0.0
Net Common Stock Issuance,164905000000.0,2367414000000.0,518382000000.0,0.0
Common Stock Payments,0.0,-5031000000.0,-4612000000.0,0.0
Common Stock Issuance,164905000000.0,2372445000000.0,522994000000.0,0.0
Investing Cash Flow,-223992000000.0,-359215000000.0,-304857000000.0,-74047000000.0
Net Investment Purchase And Sale,-188319000000.0,-305996000000.0,-285537000000.0,-61330000000.0
Sale Of Investment,654674000000.0,18009441000000.0,10923278000000.0,0.0
Purchase Of Investment,-842993000000.0,-18315437000000.0,-11208815000000.0,-61330000000.0
Net PPE Purchase And Sale,-35673000000.0,-53219000000.0,-19320000000.0,-12717000000.0
Purchase Of PPE,-35673000000.0,-53219000000.0,-19320000000.0,-12717000000.0
Operating Cash Flow,442616000000.0,-1334535000000.0,898170000000.0,7769000000.0
Cash Flowsfromusedin Operating Activities Direct,442616000000.0,-1334535000000.0,898170000000.0,7769000000.0
Classesof Cash Payments,-3048544000000.0,-2118210000000.0,-160047000000.0,-71327000000.0
Other Cash Paymentsfrom Operating Activities,-1195659000000.0,-474469000000.0,-159639000000.0,-71169000000.0
Classesof Cash Receiptsfrom Operating Activities,3491160000000.0,783675000000.0,1058217000000.0,79096000000.0
Other Cash Receiptsfrom Operating Activities,97134000000.0,22979000000.0,22691000000.0,2483000000.0
