,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,8037804000000.0,17511310000000.0,95628623000000.0,72980484000000.0
Repurchase Of Capital Stock,-179960000000.0,0.0,-128026000000.0,-79449000000.0
Repayment Of Debt,-20658021000000.0,-13919385000000.0,-14156183000000.0,-13530558000000.0
Issuance Of Debt,15899532000000.0,18668405000000.0,17718782000000.0,0.0
Capital Expenditure,-2355060000000.0,-2441525000000.0,-1850402000000.0,-1273440000000.0
End Cash Position,154879093000000.0,163900321000000.0,173340293000000.0,126907599000000.0
Other Cash Adjustment Outside Changein Cash,,,-37613983000000.0,
Beginning Cash Position,163900321000000.0,173340293000000.0,126907599000000.0,81184598000000.0
Effect Of Exchange Rate Changes,-150342000000.0,115105000000.0,505258000000.0,600362000000.0
Changes In Cash,-8870886000000.0,-9555077000000.0,83541419000000.0,45122639000000.0
Financing Cash Flow,-8492493000000.0,2725242000000.0,1718701000000.0,-17139169000000.0
Net Other Financing Charges,4011546000000.0,1042592000000.0,-541791000000.0,507305000000.0
Cash Dividends Paid,-7324821000000.0,-2724629000000.0,-820101000000.0,-3846119000000.0
Common Stock Dividend Paid,-7324821000000.0,-2724629000000.0,-820101000000.0,-3846119000000.0
Net Common Stock Issuance,-179960000000.0,0.0,-128026000000.0,-79449000000.0
Common Stock Payments,-179960000000.0,0.0,-128026000000.0,-79449000000.0
Net Issuance Payments Of Debt,-4758489000000.0,4749020000000.0,3562599000000.0,-13530558000000.0
Net Long Term Debt Issuance,-4758489000000.0,4749020000000.0,3562599000000.0,-13530558000000.0
Long Term Debt Payments,-20658021000000.0,-13919385000000.0,-14156183000000.0,-13530558000000.0
Long Term Debt Issuance,15899532000000.0,18668405000000.0,17718782000000.0,0.0
Investing Cash Flow,-10771257000000.0,-32233154000000.0,-15656307000000.0,-11992116000000.0
Net Investment Purchase And Sale,-7629316000000.0,-33147347000000.0,-14132630000000.0,-10744684000000.0
Sale Of Investment,111500079000000.0,199753937000000.0,312104123000000.0,
Purchase Of Investment,-119129395000000.0,-232901284000000.0,-326236753000000.0,
Net Business Purchase And Sale,-800000000000.0,2402941000000.0,0.0,
Sale Of Business,0.0,6828697000000.0,0.0,
Purchase Of Business,-800000000000.0,-4425756000000.0,0.0,
Net PPE Purchase And Sale,-2341941000000.0,-1488748000000.0,-1523677000000.0,-1247432000000.0
Sale Of PPE,13119000000.0,952777000000.0,326725000000.0,26008000000.0
Purchase Of PPE,-2355060000000.0,-2441525000000.0,-1850402000000.0,-1273440000000.0
Operating Cash Flow,10392864000000.0,19952835000000.0,97479025000000.0,74253924000000.0
Cash Flowsfromusedin Operating Activities Direct,10392864000000.0,19952835000000.0,97479025000000.0,74253924000000.0
Classesof Cash Payments,-128483921000000.0,-116746915000000.0,-70115598000000.0,-103340539000000.0
Other Cash Paymentsfrom Operating Activities,-36271611000000.0,-27461881000000.0,-34975305000000.0,-32725097000000.0
Paymentson Behalfof Employees,,-252786000000.0,-1300303000000.0,
Classesof Cash Receiptsfrom Operating Activities,138876785000000.0,136699750000000.0,167594623000000.0,177594463000000.0
Other Cash Receiptsfrom Operating Activities,33745919000000.0,37362583000000.0,29587037000000.0,27277143000000.0
