,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-13148750000000.0,86967772000000.0,24334258000000.0,25429518000000.0
Repurchase Of Capital Stock,-1382284000000.0,-2187544000000.0,0.0,
Repayment Of Debt,-40854721000000.0,-23661036000000.0,-18837435000000.0,-11245300000000.0
Issuance Of Debt,46180546000000.0,41819072000000.0,12547672000000.0,53750254000000.0
Issuance Of Capital Stock,,0.0,41059206000000.0,0.0
Capital Expenditure,-8177296000000.0,-10538233000000.0,-8254116000000.0,-4375066000000.0
End Cash Position,218677734000000.0,268192168000000.0,153924601000000.0,171790168000000.0
Beginning Cash Position,268192168000000.0,153924601000000.0,171790168000000.0,236906429000000.0
Effect Of Exchange Rate Changes,-2663000000.0,-30287000000.0,-2190000000.0,-352878000000.0
Changes In Cash,-49511771000000.0,114297854000000.0,-17863377000000.0,-64763383000000.0
Financing Cash Flow,-39551225000000.0,-10436111000000.0,22643854000000.0,21881389000000.0
Net Other Financing Charges,-1382284000000.0,-2187544000000.0,,
Cash Dividends Paid,-43494766000000.0,-26406603000000.0,-12125589000000.0,-20623565000000.0
Common Stock Dividend Paid,-43494766000000.0,-26406603000000.0,-12125589000000.0,-20623565000000.0
Net Common Stock Issuance,-1382284000000.0,-2187544000000.0,41059206000000.0,0.0
Common Stock Payments,-1382284000000.0,-2187544000000.0,0.0,
Common Stock Issuance,,0.0,41059206000000.0,0.0
Net Issuance Payments Of Debt,5325825000000.0,18158036000000.0,-6289763000000.0,42504954000000.0
Net Long Term Debt Issuance,5325825000000.0,18158036000000.0,-6289763000000.0,42504954000000.0
Long Term Debt Payments,-40854721000000.0,-23661036000000.0,-18837435000000.0,-11245300000000.0
Long Term Debt Issuance,46180546000000.0,41819072000000.0,12547672000000.0,53750254000000.0
Investing Cash Flow,-4989092000000.0,27227960000000.0,-73095605000000.0,-116449356000000.0
Dividends Received Cfi,75572000000.0,144069000000.0,4349000000.0,5530000000.0
Net Investment Purchase And Sale,2907520000000.0,37424578000000.0,-64581768000000.0,-111830687000000.0
Sale Of Investment,2907520000000.0,37424578000000.0,,
Purchase Of Investment,,,-64581768000000.0,-111830687000000.0
Net Business Purchase And Sale,36137000000.0,-145649000000.0,-315724000000.0,-284347000000.0
Sale Of Business,36137000000.0,,,
Purchase Of Business,,-145649000000.0,-315724000000.0,-284347000000.0
Net PPE Purchase And Sale,-8008321000000.0,-10195038000000.0,-8202462000000.0,-4339852000000.0
Sale Of PPE,168975000000.0,343195000000.0,51654000000.0,35214000000.0
Purchase Of PPE,-8177296000000.0,-10538233000000.0,-8254116000000.0,-4375066000000.0
Operating Cash Flow,-4971454000000.0,97506005000000.0,32588374000000.0,29804584000000.0
Cash Flowsfromusedin Operating Activities Direct,-4971454000000.0,97506005000000.0,32588374000000.0,29804584000000.0
Classesof Cash Payments,-346057532000000.0,-285144481000000.0,-287977541000000.0,-291716512000000.0
Other Cash Paymentsfrom Operating Activities,-128553670000000.0,-110737710000000.0,-127556690000000.0,-105923974000000.0
Classesof Cash Receiptsfrom Operating Activities,341086078000000.0,382650486000000.0,320565915000000.0,321521096000000.0
Other Cash Receiptsfrom Operating Activities,83075021000000.0,72931846000000.0,58256837000000.0,90806726000000.0
