,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,4320863000000.0,222609000000.0,9136459000000.0,25860517000000.0
Repayment Of Debt,-4957340000000.0,-14358884000000.0,-14659691000000.0,-13145508000000.0
Issuance Of Debt,13634181000000.0,13356156000000.0,7965615000000.0,14683143000000.0
Issuance Of Capital Stock,1330093000000.0,2756575000000.0,0.0,
Capital Expenditure,-2313490000000.0,-1042464000000.0,-415473000000.0,-798086000000.0
End Cash Position,53037770000000.0,41526686000000.0,41229907000000.0,34637555000000.0
Beginning Cash Position,41526686000000.0,41229907000000.0,34637555000000.0,31249908000000.0
Changes In Cash,11511084000000.0,296779000000.0,6592352000000.0,3387647000000.0
Financing Cash Flow,9315946000000.0,1431240000000.0,-6794035000000.0,455920000000.0
Net Other Financing Charges,,,,-935000000000.0
Cash Dividends Paid,-609015000000.0,-237624000000.0,,-20927000000.0
Common Stock Dividend Paid,-609015000000.0,-237624000000.0,,-20927000000.0
Net Common Stock Issuance,1330093000000.0,2756575000000.0,0.0,
Common Stock Issuance,1330093000000.0,2756575000000.0,0.0,
Net Issuance Payments Of Debt,8676841000000.0,-1002728000000.0,-6694076000000.0,1537635000000.0
Net Long Term Debt Issuance,8676841000000.0,-1002728000000.0,-6694076000000.0,1537635000000.0
Long Term Debt Payments,-4957340000000.0,-14358884000000.0,-14659691000000.0,-13145508000000.0
Long Term Debt Issuance,13634181000000.0,13356156000000.0,7965615000000.0,14683143000000.0
Investing Cash Flow,-4439215000000.0,-2399534000000.0,3834455000000.0,-23726876000000.0
Net Other Investing Changes,1434190000000.0,163410000000.0,-643370000000.0,920267000000.0
Net Investment Purchase And Sale,-3559915000000.0,-1520480000000.0,4893298000000.0,-23849057000000.0
Sale Of Investment,2211325000000.0,6295946000000.0,11052482000000.0,2143787000000.0
Purchase Of Investment,-5771240000000.0,-7816426000000.0,-6159184000000.0,-25992844000000.0
Net PPE Purchase And Sale,-2313490000000.0,-1042464000000.0,-415473000000.0,-798086000000.0
Purchase Of PPE,-2313490000000.0,-1042464000000.0,-415473000000.0,-798086000000.0
Operating Cash Flow,6634353000000.0,1265073000000.0,9551932000000.0,26658603000000.0
Cash Flowsfromusedin Operating Activities Direct,6634353000000.0,1265073000000.0,9551932000000.0,26658603000000.0
Classesof Cash Payments,-71132046000000.0,-61688591000000.0,-39713774000000.0,-55006139000000.0
Other Cash Paymentsfrom Operating Activities,-11185056000000.0,-12653940000000.0,-7539260000000.0,-23453767000000.0
Classesof Cash Receiptsfrom Operating Activities,77766399000000.0,62953664000000.0,49265706000000.0,81664742000000.0
Other Cash Receiptsfrom Operating Activities,198420000000.0,701620000000.0,1499653000000.0,2750146000000.0
