,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-76517163000000.0,92748840000000.0,125298678000000.0,103190190000000.0
Repurchase Of Capital Stock,,,0.0,-150895000000.0
Repayment Of Debt,-47405487000000.0,-16975021000000.0,-24201573000000.0,-41460886000000.0
Issuance Of Debt,83967403000000.0,26313872000000.0,26962982000000.0,46186168000000.0
Issuance Of Capital Stock,,,0.0,192687000000.0
Capital Expenditure,-6894683000000.0,-7226465000000.0,-4593815000000.0,-6704452000000.0
End Cash Position,243801693000000.0,274889544000000.0,193631712000000.0,199921727000000.0
Beginning Cash Position,274889544000000.0,193631712000000.0,199921727000000.0,144565674000000.0
Effect Of Exchange Rate Changes,-946566000000.0,9843138000000.0,-269997000000.0,1411999000000.0
Changes In Cash,-30141285000000.0,71414694000000.0,-6020018000000.0,53944054000000.0
Financing Cash Flow,23470655000000.0,13329320000000.0,-3435459000000.0,-14392185000000.0
Net Other Financing Charges,11611121000000.0,20807362000000.0,4074684000000.0,-2593152000000.0
Cash Dividends Paid,-24702382000000.0,-16816893000000.0,-10271552000000.0,-16566107000000.0
Common Stock Dividend Paid,-24702382000000.0,-16816893000000.0,-10271552000000.0,-16566107000000.0
Net Common Stock Issuance,,,0.0,41792000000.0
Common Stock Payments,,,0.0,-150895000000.0
Common Stock Issuance,,,0.0,192687000000.0
Net Issuance Payments Of Debt,36561916000000.0,9338851000000.0,2761409000000.0,4725282000000.0
Net Long Term Debt Issuance,36561916000000.0,9338851000000.0,2761409000000.0,4725282000000.0
Long Term Debt Payments,-47405487000000.0,-16975021000000.0,-24201573000000.0,-41460886000000.0
Long Term Debt Issuance,83967403000000.0,26313872000000.0,26962982000000.0,46186168000000.0
Investing Cash Flow,16010540000000.0,-41889931000000.0,-132477052000000.0,-41558403000000.0
Net Investment Purchase And Sale,22552290000000.0,-34359095000000.0,-127281409000000.0,-33700672000000.0
Sale Of Investment,30052757000000.0,10165845000000.0,,14872324000000.0
Purchase Of Investment,-7500467000000.0,-44524940000000.0,-127281409000000.0,-48572996000000.0
Net Business Purchase And Sale,110230000000.0,-308314000000.0,-601828000000.0,-1718601000000.0
Sale Of Business,140000000000.0,0.0,,
Purchase Of Business,-29770000000.0,-308314000000.0,-601828000000.0,-1718601000000.0
Net Intangibles Purchase And Sale,-1934659000000.0,-1091799000000.0,-1353981000000.0,-1629161000000.0
Purchase Of Intangibles,-1934659000000.0,-1091799000000.0,-1353981000000.0,-1629161000000.0
Net PPE Purchase And Sale,-4717321000000.0,-6130723000000.0,-3239834000000.0,-4509969000000.0
Sale Of PPE,242703000000.0,3943000000.0,0.0,565322000000.0
Purchase Of PPE,-4960024000000.0,-6134666000000.0,-3239834000000.0,-5075291000000.0
Operating Cash Flow,-69622480000000.0,99975305000000.0,129892493000000.0,109894642000000.0
Cash Flowsfromusedin Operating Activities Direct,-69622480000000.0,99975305000000.0,129892493000000.0,109894642000000.0
Classesof Cash Payments,-570917643000000.0,-561001621000000.0,-442004287000000.0,-412793414000000.0
Other Cash Paymentsfrom Operating Activities,-300311255000000.0,-370613891000000.0,-288696392000000.0,-300332099000000.0
Paymentson Behalfof Employees,-25143475000000.0,-22892424000000.0,-19613916000000.0,-19612302000000.0
Classesof Cash Receiptsfrom Operating Activities,501295163000000.0,660976926000000.0,571896780000000.0,522688056000000.0
Other Cash Receiptsfrom Operating Activities,37113485000000.0,25802973000000.0,25398580000000.0,38445498000000.0
