,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-2500285000000.0,-17173340000000.0,29023213000000.0,27673231000000.0
Repurchase Of Capital Stock,,0.0,0.0,-553000000.0
Repayment Of Debt,-2482452000000.0,-6035134000000.0,-2383144000000.0,-6724391000000.0
Issuance Of Debt,5683520000000.0,3442340000000.0,1708383000000.0,1533463000000.0
Capital Expenditure,-703309000000.0,-812909000000.0,-586297000000.0,-951697000000.0
End Cash Position,24483182000000.0,32051715000000.0,47016159000000.0,28038913000000.0
Beginning Cash Position,32051715000000.0,47016159000000.0,28038913000000.0,32458388000000.0
Effect Of Exchange Rate Changes,-102346000000.0,339913000000.0,184249000000.0,302450000000.0
Changes In Cash,-7466187000000.0,-15304357000000.0,18792997000000.0,-4721925000000.0
Financing Cash Flow,329226000000.0,-4938480000000.0,-1773338000000.0,-6583642000000.0
Interest Paid Cff,,,-668510000000.0,-2376421000000.0
Cash Dividends Paid,-2871842000000.0,-2345686000000.0,-1098577000000.0,-1392161000000.0
Common Stock Dividend Paid,-2871842000000.0,-2345686000000.0,-1098577000000.0,-1392161000000.0
Net Common Stock Issuance,,0.0,0.0,-553000000.0
Common Stock Payments,,0.0,0.0,-553000000.0
Net Issuance Payments Of Debt,3201068000000.0,-2592794000000.0,-674761000000.0,-5190928000000.0
Net Long Term Debt Issuance,3201068000000.0,-2592794000000.0,-674761000000.0,-5190928000000.0
Long Term Debt Payments,-2482452000000.0,-6035134000000.0,-2383144000000.0,-6724391000000.0
Long Term Debt Issuance,5683520000000.0,3442340000000.0,1708383000000.0,1533463000000.0
Investing Cash Flow,-5998437000000.0,5994554000000.0,-9043175000000.0,-26763211000000.0
Net Investment Purchase And Sale,-5300976000000.0,6788508000000.0,-8552978000000.0,-25813428000000.0
Sale Of Investment,10092371000000.0,31884818000000.0,27263690000000.0,15145941000000.0
Purchase Of Investment,-15393347000000.0,-25096310000000.0,-35816668000000.0,-40959369000000.0
Net Intangibles Purchase And Sale,-418963000000.0,-511322000000.0,-573777000000.0,-272007000000.0
Purchase Of Intangibles,-418963000000.0,-511322000000.0,-573777000000.0,-272007000000.0
Net PPE Purchase And Sale,-278498000000.0,-282632000000.0,83580000000.0,-677776000000.0
Sale Of PPE,5848000000.0,18955000000.0,96100000000.0,1914000000.0
Purchase Of PPE,-284346000000.0,-301587000000.0,-12520000000.0,-679690000000.0
Operating Cash Flow,-1796976000000.0,-16360431000000.0,29609510000000.0,28624928000000.0
Cash Flowsfromusedin Operating Activities Direct,-1796976000000.0,-16360431000000.0,29609510000000.0,28624928000000.0
Classesof Cash Payments,-52163450000000.0,-46780088000000.0,-31205390000000.0,-24088051000000.0
Other Cash Paymentsfrom Operating Activities,-16492933000000.0,-11841889000000.0,-7176071000000.0,-12239363000000.0
Classesof Cash Receiptsfrom Operating Activities,50366474000000.0,30419657000000.0,60814900000000.0,52712979000000.0
Other Cash Receiptsfrom Operating Activities,2858274000000.0,2961805000000.0,1976706000000.0,2362250000000.0
