,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,223160000000.0,-156267000000.0,15909290000000.0,11094113000000.0
Repayment Of Debt,-2156307000000.0,0.0,,
Issuance Of Debt,12880064000000.0,742500000000.0,0.0,96000000000.0
Issuance Of Capital Stock,0.0,4999952000000.0,52286000000.0,259641000000.0
Capital Expenditure,-1817875000000.0,-2041797000000.0,-787504000000.0,-1093299000000.0
End Cash Position,40021092000000.0,39221419000000.0,26542272000000.0,26514431000000.0
Beginning Cash Position,39221419000000.0,26542272000000.0,26514431000000.0,26215414000000.0
Changes In Cash,799673000000.0,12679147000000.0,27841000000.0,299017000000.0
Financing Cash Flow,10162997000000.0,4798909000000.0,-77929000000.0,-140494000000.0
Net Other Financing Charges,,,,96000000000.0
Cash Dividends Paid,-426018000000.0,-757051000000.0,,-254808000000.0
Common Stock Dividend Paid,-426018000000.0,-757051000000.0,,-254808000000.0
Net Common Stock Issuance,0.0,4999952000000.0,52286000000.0,259641000000.0
Common Stock Issuance,0.0,4999952000000.0,52286000000.0,259641000000.0
Net Issuance Payments Of Debt,10723757000000.0,742500000000.0,0.0,96000000000.0
Net Long Term Debt Issuance,10723757000000.0,742500000000.0,0.0,96000000000.0
Long Term Debt Payments,-2156307000000.0,0.0,,
Long Term Debt Issuance,12880064000000.0,742500000000.0,0.0,96000000000.0
Investing Cash Flow,-11404359000000.0,5994708000000.0,-16591024000000.0,-11747901000000.0
Net Investment Purchase And Sale,-9592005000000.0,8036505000000.0,-15803520000000.0,-10661812000000.0
Sale Of Investment,111080068000000.0,464041150000000.0,466832322000000.0,160377208000000.0
Purchase Of Investment,-120672073000000.0,-456004645000000.0,-482635842000000.0,-171039020000000.0
Net Intangibles Purchase And Sale,-991632000000.0,-144715000000.0,,
Purchase Of Intangibles,-991632000000.0,-144715000000.0,,
Net PPE Purchase And Sale,-820722000000.0,-1897082000000.0,-787504000000.0,-1086089000000.0
Sale Of PPE,5521000000.0,0.0,0.0,7210000000.0
Purchase Of PPE,-826243000000.0,-1897082000000.0,-787504000000.0,-1093299000000.0
Operating Cash Flow,2041035000000.0,1885530000000.0,16696794000000.0,12187412000000.0
Cash Flowsfromusedin Operating Activities Direct,2041035000000.0,1885530000000.0,16696794000000.0,12187412000000.0
Classesof Cash Payments,-57996411000000.0,-54524438000000.0,-39105088000000.0,-41898619000000.0
Other Cash Paymentsfrom Operating Activities,-17561385000000.0,-12969554000000.0,-14131885000000.0,-10490340000000.0
Classesof Cash Receiptsfrom Operating Activities,60037446000000.0,56409968000000.0,55801882000000.0,54086031000000.0
Other Cash Receiptsfrom Operating Activities,26154696000000.0,22967788000000.0,21226244000000.0,19878981000000.0
