,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-10485706000000.0,16288064000000.0,10882263000000.0,-636653000000.0
Repayment Of Debt,-856213000000.0,-285050000000.0,-281000000000.0,0.0
Issuance Of Debt,1909228000000.0,1856213000000.0,285050000000.0,331000000000.0
Capital Expenditure,-146907000000.0,-319020000000.0,-50446000000.0,-91204000000.0
End Cash Position,11679531000000.0,19516551000000.0,17592335000000.0,7691157000000.0
Beginning Cash Position,19516551000000.0,17592335000000.0,7691157000000.0,13839608000000.0
Changes In Cash,-7837020000000.0,1924216000000.0,9901178000000.0,-6148451000000.0
Financing Cash Flow,-1787532000000.0,-1239405000000.0,-2095950000000.0,-670350000000.0
Cash Dividends Paid,-2836818000000.0,-2800000000000.0,-2100000000000.0,-1001350000000.0
Common Stock Dividend Paid,-2836818000000.0,-2800000000000.0,-2100000000000.0,-1001350000000.0
Net Issuance Payments Of Debt,1053015000000.0,1571163000000.0,4050000000.0,331000000000.0
Net Long Term Debt Issuance,1053015000000.0,1571163000000.0,4050000000.0,331000000000.0
Long Term Debt Payments,-856213000000.0,-285050000000.0,-281000000000.0,0.0
Long Term Debt Issuance,1909228000000.0,1856213000000.0,285050000000.0,331000000000.0
Investing Cash Flow,4289311000000.0,-13443463000000.0,1064419000000.0,-4932652000000.0
Net Investment Purchase And Sale,4435384000000.0,-13124837000000.0,1114349000000.0,-4847138000000.0
Sale Of Investment,18677711000000.0,22745355000000.0,34190810000000.0,24011617000000.0
Purchase Of Investment,-14242327000000.0,-35870192000000.0,-33076461000000.0,-28858755000000.0
Net PPE Purchase And Sale,-146073000000.0,-318626000000.0,-49930000000.0,-85514000000.0
Sale Of PPE,834000000.0,394000000.0,516000000.0,5690000000.0
Purchase Of PPE,-146907000000.0,-319020000000.0,-50446000000.0,-91204000000.0
Operating Cash Flow,-10338799000000.0,16607084000000.0,10932709000000.0,-545449000000.0
Cash Flowsfromusedin Operating Activities Direct,-10338799000000.0,16607084000000.0,10932709000000.0,-545449000000.0
Classesof Cash Payments,-29512593000000.0,-21925959000000.0,-21116735000000.0,-27384372000000.0
Other Cash Paymentsfrom Operating Activities,-4845657000000.0,-3370015000000.0,-2912716000000.0,-3478097000000.0
Classesof Cash Receiptsfrom Operating Activities,19173794000000.0,38533043000000.0,32049444000000.0,26838923000000.0
Other Cash Receiptsfrom Operating Activities,136992000000.0,360110000000.0,888949000000.0,86095000000.0
