,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,393198000000.0,-12404331000000.0,24398767000000.0,4929034000000.0
Repayment Of Debt,-2000000000000.0,0.0,-877000000000.0,-1066000000000.0
Issuance Of Debt,,,0.0,2750000000000.0
Capital Expenditure,-397091000000.0,-799005000000.0,-390838000000.0,-356244000000.0
End Cash Position,10757240000000.0,14632415000000.0,12060879000000.0,9656140000000.0
Beginning Cash Position,14632415000000.0,12060879000000.0,9656140000000.0,19552631000000.0
Effect Of Exchange Rate Changes,-37934000000.0,329269000000.0,73605000000.0,117393000000.0
Changes In Cash,-3837241000000.0,2242267000000.0,2331134000000.0,-10013884000000.0
Financing Cash Flow,-3333012000000.0,-506832000000.0,-881529000000.0,1640390000000.0
Net Other Financing Charges,100000000.0,50000000.0,50000000.0,
Cash Dividends Paid,-1330767000000.0,-504797000000.0,,
Common Stock Dividend Paid,-1330767000000.0,-504797000000.0,,
Net Issuance Payments Of Debt,-2000000000000.0,0.0,-877000000000.0,1684000000000.0
Net Long Term Debt Issuance,-2000000000000.0,0.0,-877000000000.0,1684000000000.0
Long Term Debt Payments,-2000000000000.0,0.0,-877000000000.0,-1066000000000.0
Long Term Debt Issuance,,,0.0,2750000000000.0
Investing Cash Flow,-1294518000000.0,14354425000000.0,-21576942000000.0,-16939552000000.0
Net Investment Purchase And Sale,-901490000000.0,15145711000000.0,-21188772000000.0,-16591312000000.0
Sale Of Investment,44382384000000.0,21455481000000.0,9292127000000.0,10272778000000.0
Purchase Of Investment,-45283874000000.0,-6309770000000.0,-30480899000000.0,-26864090000000.0
Net PPE Purchase And Sale,-393028000000.0,-791286000000.0,-388170000000.0,-348240000000.0
Sale Of PPE,4063000000.0,7719000000.0,2668000000.0,8004000000.0
Purchase Of PPE,-397091000000.0,-799005000000.0,-390838000000.0,-356244000000.0
Operating Cash Flow,790289000000.0,-11605326000000.0,24789605000000.0,5285278000000.0
Cash Flowsfromusedin Operating Activities Direct,790289000000.0,-11605326000000.0,24789605000000.0,5285278000000.0
Classesof Cash Payments,-35894976000000.0,-49231878000000.0,-17752160000000.0,-49322251000000.0
Other Cash Paymentsfrom Operating Activities,-10945397000000.0,-6327563000000.0,-4910922000000.0,-5610449000000.0
Classesof Cash Receiptsfrom Operating Activities,36685265000000.0,37626552000000.0,42541765000000.0,54607529000000.0
Other Cash Receiptsfrom Operating Activities,2248167000000.0,2193985000000.0,2353762000000.0,2440131000000.0
